snapshot,Bramford,Bramley,Daines,Deeside,Denny/Bonnybridge,Errochty,Feckenham,Harker,Keadby,Kemsley,London,Lovedean,Melksham,Neilston,Pelham,Penwortham,Ratcliffe,S.W.Penisula,Sellindge,Stella West,Strathaven,Sundon/East Claydon,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Torness,Walpole
2050-03-01 11:00:00,33.9770556,81.29514,77.28933359999999,135.6390084,10.270547999999998,0.7618848,35.5677936,14.2286052,255.8797116,215.094006,97.48267440000001,80.578512,270.9885408,11.5595688,60.690599999999996,19.951572,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 12:00:00,33.9770556,81.29514,77.28933359999999,135.6390084,10.270547999999998,0.7618848,35.5677936,10.5179052,255.8797116,215.094006,97.48267440000001,80.578512,270.9885408,11.5595688,44.79615,19.951572,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 13:00:00,33.9770556,81.29514,77.28933359999999,135.6390084,10.270547999999998,0.7618848,35.5677936,10.5179052,255.8797116,215.094006,97.48267440000001,80.578512,270.9885408,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 14:00:00,33.9770556,81.29514,77.28933359999999,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,255.8797116,215.094006,97.48267440000001,80.578512,267.60641109704386,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 15:00:00,33.9770556,81.29514,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,255.8797116,215.094006,97.48267440000001,80.578512,270.9885408,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 16:00:00,33.9770556,81.29514,77.28933359999999,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,255.8797116,215.094006,97.48267440000001,80.578512,270.9885408,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 17:00:00,43.3136556,113.52864,77.28933359999999,135.6390084,10.270547999999998,0.7618848,35.5677936,14.2286052,255.8797116,301.279716,97.81549545632778,109.877652,270.9885408,11.5595688,44.79615,19.951572,122.7414768,93.6489696,5.057327999999999,52.3716612,6.041436,67.5008232,19.735158,117.22226400000001,14.18325,102.29305799999999
2050-03-01 18:00:00,43.3136556,113.52864,98.7635136,184.3227084,10.270547999999998,0.7618848,35.5677936,17.6742552,366.9630216,301.279716,106.55251440000002,109.877652,377.7592308,11.5595688,60.690599999999996,21.285372,171.1806468,93.6489696,5.057327999999999,52.3716612,6.041436,83.57311320000001,20.846657999999998,118.46714400000002,14.18325,141.617928
2050-03-01 19:00:00,43.3136556,113.52864,98.7635136,184.3227084,10.270547999999998,0.7618848,35.5677936,17.6742552,366.9630216,301.279716,106.55251440000002,109.877652,377.7592308,11.5595688,60.690599999999996,21.285372,171.1806468,93.6489696,5.057327999999999,52.3716612,6.041436,83.57311320000001,20.846657999999998,118.46714400000002,14.18325,141.617928
2050-03-01 20:00:00,43.3136556,113.52864,98.7635136,184.3227084,10.270547999999998,0.7618848,35.5677936,17.6742552,366.9630216,301.279716,106.55251440000002,109.877652,377.7592308,11.5595688,60.690599999999996,21.285372,171.1806468,93.6489696,5.057327999999999,52.3716612,6.041436,83.57311320000001,20.846657999999998,118.46714400000002,14.18325,141.617928
2050-03-01 21:00:00,43.3136556,113.52864,98.7635136,184.3227084,10.270547999999998,0.7618848,35.5677936,17.6742552,366.9630216,301.279716,106.55251440000002,109.877652,377.7592308,11.5595688,60.690599999999996,21.285372,171.1806468,93.6489696,5.057327999999999,52.3716612,6.041436,83.57311320000001,20.846657999999998,118.46714400000002,14.18325,141.617928
2050-03-01 22:00:00,43.3136556,113.52864,98.7635136,184.3227084,10.270547999999998,0.7618848,35.5677936,17.6742552,366.9630216,301.279716,106.55251440000002,109.877652,377.7592308,11.5595688,60.690599999999996,21.285372,171.1806468,93.6489696,5.057327999999999,52.3716612,6.041436,83.57311320000001,20.846657999999998,118.46714400000002,14.18325,141.617928
2050-03-01 23:00:00,43.3136556,113.52864,98.7635136,184.3227084,10.270547999999998,0.7618848,35.5677936,17.6742552,366.9630216,301.279716,106.55251440000002,109.877652,377.7592308,11.5595688,60.690599999999996,21.285372,171.1806468,93.6489696,5.057327999999999,52.3716612,6.041436,83.57311320000001,20.846657999999998,118.46714400000002,14.18325,141.617928
