,IFA,IFA2,NSL,ElecLink,GridLink,NorthConnect,FAB Link
287,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
288,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
289,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
290,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
291,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
292,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
293,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
294,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
295,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
296,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
297,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
298,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
299,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
300,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
301,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
302,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
303,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
304,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
305,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
306,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
307,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
308,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
309,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
310,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
311,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
312,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
313,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
314,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
315,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
316,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
317,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
318,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
319,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
320,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
321,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
322,-396.0,-990.0,1386.0,-990.0,1386.0,-1386.0,990.0
323,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
324,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
325,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
326,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
327,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
328,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
329,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
330,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
331,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
332,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
333,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
334,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
335,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
336,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
337,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
338,-396.0,-990.0,1386.0,-990.0,1386.0,-1386.0,990.0
339,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
340,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
341,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
342,-396.0,-990.0,1386.0,-990.0,1386.0,-1386.0,990.0
343,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
344,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
345,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
346,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
347,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
348,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
349,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
350,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
351,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
352,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
353,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
354,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
355,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
356,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
357,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
358,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
359,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
360,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
361,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
362,-396.0,-990.0,1386.0,-990.0,1386.0,-1386.0,990.0
363,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
364,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
365,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
366,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
367,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
368,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
369,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
370,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
